college_code,college_name,years,year_count
3737,山东建筑大学,"2021,2022,2024,2026",4
3738,山东交通学院,"2021,2022,2024,2026",4
3742,山东科技大学,"2021,2022,2024,2026",4
3743,山东理工大学,"2021,2022,2024,2026",4
3744,山东力明科技职业学院(民办),"2021,2022",2
3744,山东力明科技职业学院,"2024,2026",2
3745,山东农业大学,"2021,2022,2024,2026",4
3746,齐鲁工业大学,"2021,2022,2024,2026",4
3747,山东商业职业技术学院,"2021,2022,2024",3
3748,山东师范大学,"2021,2022,2024,2026",4
3750,齐鲁医药学院(民办),"2021,2022",2
3750,齐鲁医药学院,"2024,2026",2
3751,山东现代学院(民办),"2021,2022",2
3751,山东现代学院,"2024,2026",2
3752,山东协和学院(民办),"2021,2022",2
3752,山东协和学院,"2024,2026",2
3754,山东畜牧兽医职业学院,"2021,2022,2024,2026",4
3755,山东医学高等专科学校,"2021,2022,2024,2026",4
3756,山东英才学院(民办),"2021,2022",2
3756,山东英才学院,"2024,2026",2
3757,泰山学院,"2021,2022,2024,2026",4
3758,潍坊学院,"2021,2022,2024,2026",4
3759,潍坊医学院,"2021,2022",2
3759,山东第二医科大学,"2024,2026",2
3760,烟台大学,"2021,2022,2024,2026",4
3761,烟台南山学院(民办),"2021,2022",2
3761,烟台南山学院,"2024,2026",2
3762,枣庄学院,"2021,2022,2024,2026",4
3763,中国海洋大学(一流大学建设高校),2021,1
3763,中国海洋大学（一流大学建设高校）,2022,1
3763,中国海洋大学,"2024,2026",2
3764,青岛工学院(民办),"2021,2022",2
3764,青岛工学院,"2024,2026",2
3765,中国石油大学(华东)(一流学科建设高校),2021,1
3765,中国石油大学(华东)（一流学科建设高校）,2022,1
3765,中国石油大学(华东),"2024,2026",2
3766,山东石油化工学院,"2021,2022,2024,2026",4
3767,山东艺术学院,"2024,2026",2
3768,青岛城市学院(民办),"2021,2022",2
3768,青岛城市学院,"2024,2026",2
3769,山东工程职业技术大学(民办),"2021,2022",2
3769,山东工程职业技术大学,"2024,2026",2
3770,山东中医药大学,"2021,2022,2024,2026",4
3771,青岛电影学院(民办),"2021,2022",2
3771,青岛电影学院,"2024,2026",2
3773,青岛黄海学院(民办),"2021,2022",2
3773,青岛黄海学院,"2024,2026",2
3775,山东第一医科大学,"2021,2022,2024,2026",4
3778,北京交通大学(威海校区)(一流学科建设高校),2021,1
3778,北京交通大学(威海校区)（一流学科建设高校）,2022,1
3778,北京交通大学(威海校区),"2024,2026",2
3781,山东电力高等专科学校,"2021,2022,2024",3
3783,山东中医药高等专科学校,2026,1
3784,泰山科技学院,"2024,2026",2
3802,赣南卫生健康职业学院,2024,1
3807,宜春职业技术学院,"2024,2026",2
3809,上饶卫生健康职业学院,2024,1
3812,南昌健康职业技术学院,2026,1
3814,江西飞行学院,2026,1
4001,长江大学,"2021,2022,2024,2026",4
4003,长江工程职业技术学院,2021,1
4006,鄂州职业大学,"2021,2022,2024,2026",4
4007,恩施职业技术学院,"2021,2022,2024",3
4009,湖北财税职业学院,2026,1
4010,湖北城市建设职业技术学院,2026,1
4011,湖北大学,"2021,2022,2024,2026",4
4012,湖北大学知行学院(独立学院),"2021,2022",2
4012,湖北大学知行学院,"2024,2026",2
4013,湖北第二师范学院,"2021,2022,2024,2026",4
4014,湖北工业大学,"2021,2022,2024,2026",4
4015,湖北工业大学工程技术学院(独立学院),"2021,2022",2
4015,湖北工业大学工程技术学院,"2024,2026",2
4016,湖北商贸学院(民办),"2021,2022",2
4016,湖北商贸学院,"2024,2026",2
4018,湖北交通职业技术学院,2022,1
4019,湖北经济学院,"2021,2022,2024,2026",4
4020,湖北经济学院法商学院(独立学院),"2021,2022",2
4020,湖北经济学院法商学院,"2024,2026",2
4021,湖北美术学院,"2024,2026",2
4022,湖北民族大学,"2021,2022,2024,2026",4
4023,湖北汽车工业学院,"2021,2022,2024,2026",4
4024,湖北汽车工业学院科技学院(独立学院),"2021,2022",2
4025,湖北轻工职业技术学院,"2021,2024",2
4026,湖北三峡职业技术学院,"2021,2022,2024",3
4026,湖北三峡职业技术大学,2026,1
4028,湖北生物科技职业学院,"2021,2022,2024,2026",4
4029,湖北师范大学,"2021,2022,2024,2026",4
4030,湖北水利水电职业技术学院,"2022,2026",2
4031,湖北职业技术学院,"2021,2022,2024,2026",4
4032,湖北中医药大学,"2021,2022,2024,2026",4
4033,湖北中医药高等专科学校,"2021,2022,2024,2026",4
4034,华中科技大学(一流大学建设高校),2021,1
4034,华中科技大学（一流大学建设高校）,2022,1
4034,华中科技大学,"2024,2026",2
4035,文华学院(民办),"2021,2022",2
4035,文华学院,"2024,2026",2
4036,武昌首义学院(民办),"2021,2022",2
4036,武昌首义学院,"2024,2026",2
4037,华中农业大学(一流学科建设高校),2021,1
4037,华中农业大学（一流学科建设高校）,2022,1
4037,华中农业大学,"2024,2026",2
4038,武汉设计工程学院(民办),"2021,2022",2
4038,武汉设计工程学院,"2024,2026",2
4039,华中师范大学(一流学科建设高校),2021,1
4039,华中师范大学（一流学科建设高校）,2022,1
4039,华中师范大学,"2024,2026",2
4040,汉口学院(民办),"2021,2022",2
4040,汉口学院,"2024,2026",2
4042,黄冈职业技术学院,"2021,2022,2024",3
4042,黄冈职业技术大学,2026,1
4043,湖北理工学院,"2021,2022,2024,2026",4
4045,荆楚理工学院,"2021,2022,2024,2026",4
4047,荆州职业技术学院,"2021,2022,2024,2026",4
4048,三峡大学,"2021,2022,2024,2026",4
4049,三峡大学科技学院(独立学院),"2021,2022",2
4049,三峡大学科技学院,"2024,2026",2
4050,三峡电力职业学院,"2021,2024,2026",3
4051,荆州理工职业学院,"2022,2024",2
4053,随州职业技术学院,"2021,2022",2
4054,武汉船舶职业技术学院,"2024,2026",2
4055,武汉大学(一流大学建设高校),2021,1
4055,武汉大学（一流大学建设高校）,2022,1
4055,武汉大学,"2024,2026",2
4056,武汉晴川学院(民办),"2021,2022",2
4056,武汉晴川学院,"2024,2026",2
4058,武汉工程大学,"2021,2022,2024,2026",4
4059,武汉工程大学邮电与信息工程学院(独立学院),"2021,2022",2
4059,武汉工程大学邮电与信息工程学院,"2024,2026",2
4060,武汉工程职业技术学院,"2021,2022,2024",3
4061,武汉轻工大学,"2021,2022,2024,2026",4
4062,武昌工学院(民办),"2021,2022",2
4062,武昌工学院,"2024,2026",2
4065,武汉交通职业学院,2024,1
4066,武汉警官职业学院,"2021,2022,2024,2026",4
4067,武汉科技大学,"2021,2022,2024,2026",4
4068,武汉城市学院(民办),"2021,2022",2
4068,武汉城市学院,"2024,2026",2
4069,武昌理工学院(民办),"2021,2022",2
4069,武昌理工学院,"2024,2026",2
4070,武汉纺织大学,"2021,2022,2024,2026",4
4071,武汉纺织大学外经贸学院(独立学院),"2021,2022",2
4071,武汉纺织大学外经贸学院,"2024,2026",2
4072,武汉理工大学(一流学科建设高校),2021,1
4072,武汉理工大学（一流学科建设高校）,2022,1
4072,武汉理工大学,"2024,2026",2
4073,武汉华夏理工学院(民办),"2021,2022",2
4073,武汉华夏理工学院,"2024,2026",2
4074,武汉民政职业学院,"2022,2024,2026",3
